iter	Passed	Remaining
0	57	41917
1	58	21470
2	60	14635
3	61	11202
4	62	9137
5	64	7758
6	65	6781
7	66	6057
8	68	5478
9	69	5019
10	70	4644
11	72	4329
12	73	4063
13	74	3832
14	76	3634
15	77	3463
16	78	3317
17	80	3181
18	81	3060
19	82	2950
20	84	2846
21	85	2752
22	86	2667
23	87	2586
24	88	2513
25	89	2442
26	91	2378
27	92	2321
28	93	2266
29	94	2214
30	95	2165
31	96	2119
32	98	2076
33	99	2037
34	100	1999
35	101	1963
36	102	1928
37	103	1895
38	105	1867
39	106	1838
40	107	1810
41	108	1783
42	109	1757
43	110	1732
44	111	1707
45	113	1685
46	114	1663
47	115	1642
48	116	1623
49	117	1608
50	119	1589
51	120	1574
52	121	1557
53	122	1540
54	123	1525
55	125	1509
56	126	1494
57	127	1480
58	128	1465
59	129	1451
60	130	1437
61	131	1424
62	132	1411
63	134	1400
64	135	1388
65	136	1376
66	137	1364
67	138	1353
68	139	1342
69	140	1331
70	141	1321
71	143	1311
72	144	1302
73	145	1293
74	146	1284
75	147	1276
76	149	1268
77	150	1259
78	151	1251
79	152	1243
80	153	1235
81	154	1227
82	156	1223
83	157	1217
84	159	1212
85	160	1205
86	161	1198
87	163	1195
88	165	1192
89	166	1188
90	168	1183
91	169	1179
92	170	1174
93	172	1168
94	173	1162
95	174	1157
96	175	1150
97	177	1145
98	178	1139
99	179	1133
100	180	1127
101	181	1122
102	183	1118
103	184	1112
104	185	1106
105	186	1101
106	187	1095
107	188	1090
108	189	1085
109	191	1081
110	192	1075
111	193	1070
112	194	1065
113	195	1061
114	197	1057
115	198	1052
116	199	1048
117	200	1043
118	201	1039
119	203	1035
120	204	1031
121	205	1027
122	206	1023
123	207	1019
124	209	1015
125	210	1011
126	211	1008
127	213	1005
128	214	1001
129	215	999
130	216	995
131	218	991
132	219	988
133	221	986
134	222	983
135	223	979
136	224	976
137	225	972
138	227	969
139	228	965
140	229	962
141	231	959
142	232	958
143	234	956
144	235	953
145	236	950
146	238	947
147	239	944
148	240	941
149	241	938
150	243	935
151	244	933
152	245	930
153	247	928
154	249	927
155	250	923
156	251	920
157	252	918
158	253	915
159	255	912
160	256	909
161	258	907
162	259	905
163	260	902
164	261	899
165	262	896
166	264	893
167	265	890
168	266	887
169	267	884
170	268	881
171	269	878
172	271	876
173	272	873
174	273	870
175	274	867
176	275	864
177	276	861
178	278	858
179	279	856
180	280	853
181	281	850
182	282	847
183	283	844
184	284	842
185	285	839
186	287	836
187	288	833
188	289	831
189	290	828
190	291	826
191	293	824
192	294	822
193	295	819
194	296	817
195	297	814
196	298	811
197	300	809
198	301	807
199	303	806
200	304	804
201	305	801
202	306	799
203	308	797
204	309	795
205	310	792
206	311	790
207	312	788
208	314	785
209	315	783
210	316	781
211	317	779
212	318	777
213	320	774
214	321	772
215	322	770
216	323	768
217	324	766
218	326	763
219	327	761
220	328	759
221	329	757
222	330	755
223	332	753
224	333	750
225	334	748
226	335	746
227	336	744
228	338	743
229	339	741
230	340	739
231	342	737
232	343	734
233	344	732
234	345	730
235	346	728
236	347	726
237	348	724
238	350	722
239	351	719
240	352	718
241	353	716
242	354	714
243	355	711
244	357	710
245	358	707
246	359	705
247	360	703
248	361	701
249	363	699
250	364	697
251	365	695
252	366	693
253	367	691
254	368	689
255	369	687
256	371	685
257	372	683
258	373	681
259	374	679
260	375	677
261	376	675
262	377	673
263	378	671
264	380	669
265	381	668
266	382	665
267	383	663
268	384	661
269	385	660
270	386	658
271	388	656
272	389	654
273	390	652
274	391	651
275	394	651
276	395	650
277	396	647
278	397	645
279	399	644
280	400	642
281	401	640
282	402	639
283	404	637
284	405	635
285	406	633
286	407	632
287	409	630
288	410	629
289	411	627
290	412	625
291	414	623
292	415	622
293	416	620
294	417	618
295	418	616
296	420	615
297	421	613
298	422	612
299	423	610
300	425	608
301	426	607
302	427	605
303	428	603
304	429	601
305	431	600
306	432	598
307	433	596
308	434	595
309	435	593
310	437	591
311	438	590
312	439	588
313	440	586
314	442	585
315	443	583
316	444	582
317	445	580
318	447	578
319	448	577
320	449	575
321	450	574
322	452	572
323	453	571
324	454	569
325	456	568
326	457	566
327	458	564
328	459	563
329	460	561
330	462	559
331	463	558
332	464	556
333	465	554
334	466	553
335	468	552
336	469	550
337	470	548
338	472	547
339	473	545
340	474	544
341	475	542
342	477	541
343	478	539
344	479	538
345	480	536
346	482	534
347	483	533
348	484	531
349	485	530
350	487	528
351	488	527
352	489	525
353	490	524
354	492	522
355	493	520
356	494	519
357	495	517
358	496	516
359	498	514
360	499	513
361	500	511
362	502	510
363	503	508
364	504	507
365	505	505
366	507	504
367	508	502
368	509	501
369	511	499
370	512	498
371	513	496
372	514	495
373	515	493
374	517	492
375	518	490
376	519	489
377	520	487
378	522	486
379	523	484
380	524	483
381	525	481
382	527	480
383	528	478
384	529	477
385	530	475
386	532	474
387	533	472
388	534	471
389	535	469
390	536	468
391	538	466
392	539	465
393	540	463
394	541	462
395	542	460
396	544	459
397	545	457
398	546	456
399	547	454
400	549	453
401	550	451
402	551	450
403	552	448
404	554	447
405	555	446
406	556	444
407	557	443
408	559	441
409	560	440
410	561	438
411	562	437
412	564	435
413	565	434
414	566	432
415	567	431
416	568	429
417	570	428
418	571	426
419	572	425
420	573	423
421	575	422
422	576	421
423	577	419
424	578	418
425	580	416
426	581	415
427	582	413
428	583	412
429	584	410
430	586	409
431	587	407
432	588	406
433	590	405
434	591	403
435	592	402
436	594	401
437	595	399
438	596	398
439	597	396
440	598	395
441	599	393
442	601	392
443	602	390
444	603	389
445	604	387
446	606	386
447	607	385
448	608	383
449	610	382
450	611	381
451	613	379
452	614	378
453	615	377
454	617	375
455	618	374
456	619	372
457	620	371
458	622	370
459	623	368
460	624	367
461	625	365
462	627	364
463	628	362
464	629	361
465	630	360
466	632	358
467	633	357
468	634	355
469	635	354
470	637	353
471	638	351
472	639	350
473	641	348
474	642	347
475	643	346
476	644	344
477	645	343
478	647	341
479	648	340
480	649	339
481	650	337
482	652	336
483	653	334
484	654	333
485	655	331
486	656	330
487	657	328
488	659	327
489	660	326
490	661	324
491	663	323
492	664	321
493	665	320
494	666	319
495	667	317
496	669	316
497	670	315
498	671	313
499	673	312
500	674	311
501	676	309
502	677	308
503	678	307
504	680	305
505	681	304
506	683	303
507	684	301
508	685	300
509	686	298
510	688	297
511	689	296
512	690	294
513	692	293
514	693	292
515	694	290
516	695	289
517	696	287
518	698	286
519	699	285
520	700	283
521	702	282
522	703	281
523	704	279
524	705	278
525	707	276
526	708	275
527	709	274
