Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,TotalSpend,LuxurySpend,BasicSpend,HomePlanet_TargetMean,Destination_TargetMean,VIP_TargetMean,CryoSleep_TargetMean,Cabin_Prefix_TargetMean,GroupSize_TargetMean,MaxSpendCategory_TargetMean,Age_TargetMean,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_nan,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Destination_nan,VIP_False,VIP_True,VIP_nan,CryoSleep_False,CryoSleep_True,CryoSleep_nan,Cabin_Prefix_A,Cabin_Prefix_B,Cabin_Prefix_C,Cabin_Prefix_D,Cabin_Prefix_E,Cabin_Prefix_F,Cabin_Prefix_G,Cabin_Prefix_T,Cabin_Prefix_nan,GroupSize_1,GroupSize_2,GroupSize_3,GroupSize_4,GroupSize_5,GroupSize_6,GroupSize_7,GroupSize_8,MaxSpendCategory_FoodCourt,MaxSpendCategory_None,MaxSpendCategory_RoomService,MaxSpendCategory_ShoppingMall,MaxSpendCategory_Spa,MaxSpendCategory_VRDeck,Transported
39,0,0,0,0,0,0,0,0,0.658845612,0.471174979,0.506332167,0.328920757,0.734274711,0.452445369,0.786476868,0.449275362,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE
24,109,9,25,549,44,736,593,118,0.42394611,0.471174979,0.506332167,0.328920757,0.439871152,0.452445369,0.104712042,0.432098765,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE
58,43,3576,0,6715,49,10383,6764,3619,0.658845612,0.471174979,0.381909548,0.328920757,0.49609375,0.538049941,0.104712042,0.510638298,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE
33,0,1283,371,3329,193,5176,3522,1283,0.658845612,0.471174979,0.506332167,0.328920757,0.49609375,0.538049941,0.104712042,0.466292135,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE
16,303,70,151,565,2,1091,567,373,0.42394611,0.471174979,0.506332167,0.328920757,0.439871152,0.452445369,0.104712042,0.544217687,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE
44,0,483,0,291,0,774,291,483,0.42394611,0.503768844,0.506332167,0.328920757,0.439871152,0.452445369,0.585867621,0.547826087,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
26,42,1539,3,0,0,1584,0,1581,0.42394611,0.471174979,0.506332167,0.328920757,0.439871152,0.538049941,0.585867621,0.47761194,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
28,0,0,0,0,0,0,0,0,0.42394611,0.471174979,0.506332167,0.817583141,0.516217272,0.538049941,0.786476868,0.561797753,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,TRUE
35,0,785,17,216,0,1018,216,785,0.42394611,0.471174979,0.506332167,0.328920757,0.439871152,0.452445369,0.585867621,0.514619883,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
14,0,0,0,0,0,0,0,0,0.658845612,0.61,0.506332167,0.817583141,0.734274711,0.593137255,0.786476868,0.557971014,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,TRUE
34,0,0,0,0,0,0,0,0,0.658845612,0.471174979,0.506332167,0.817583141,0.734274711,0.593137255,0.786476868,0.52027027,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,TRUE
45,39,7295,589,110,124,8157,234,7334,0.658845612,0.61,0.506332167,0.328920757,0.734274711,0.593137255,0.585867621,0.471910112,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,TRUE
32,73,0,1123,0,113,1309,113,73,0.523024446,0.471174979,0.506332167,0.328920757,0.439871152,0.452445369,0.511777302,0.43718593,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
48,719,1,65,0,24,809,24,720,0.42394611,0.471174979,0.506332167,0.328920757,0.516217272,0.452445369,0.140734266,0.541666667,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE
28,8,974,12,2,7,1003,9,982,0.42394611,0.471174979,0.506332167,0.328920757,0.439871152,0.452445369,0.585867621,0.561797753,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
31,32,0,876,0,0,908,0,32,0.42394611,0.471174979,0.506332167,0.328920757,0.502512563,0.452445369,0.511777302,0.410891089,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
